2026-03-06 11:48:28 | INFO     | __main__ | 📊 STRATEGY BREAKDOWN (actual P&L):
2026-03-06 11:48:28 | INFO     | __main__ |    short_duration: 180 trades, realized=$-28.2244, total=$-28.1245
2026-03-06 11:48:28 | INFO     | __main__ | ──────────────────────────────────────────────────────────────────────
2026-03-06 11:48:28 | INFO     | __main__ | 🔁 QUOTE CHURN (paper): canceled=5 requoted=0
2026-03-06 11:48:28 | INFO     | __main__ | ──────────────────────────────────────────────────────────────────────
2026-03-06 11:48:28 | INFO     | __main__ | 🔌 CIRCUIT BREAKER: state=cooldown daily_loss=$0.00 drawdown=0.0% consec_losses=0 trips=77
2026-03-06 11:48:28 | INFO     | __main__ | ──────────────────────────────────────────────────────────────────────
2026-03-06 11:48:28 | INFO     | __main__ | 🧠 STRATEGY ATTRIBUTION (actual):
2026-03-06 11:48:28 | INFO     | __main__ |    short_duration: cost=$9.95 realized=$-28.2244 unrealized=$0.0999
2026-03-06 11:48:28 | INFO     | __main__ | ======================================================================
2026-03-06 11:48:28 | INFO     | __main__ | Iteration 14383: processed 4 signals
2026-03-06 11:48:35 | INFO     | polymarket_bot.orchestrator | 🕐 Resolution window [2d]: 477 → 0 markets
2026-03-06 11:48:36 | INFO     | polymarket_bot.scanner | 🔍 Short-duration scan: 50 markets found — unknown=50
2026-03-06 11:48:36 | INFO     | polymarket_bot.orchestrator | 📡 Short-duration: added 50 markets to universe (50 total in scan, 0 already present)
2026-03-06 11:48:38 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Up cid=0x1c89a881f1 price=0.495 prob=55.9% edge=6.2¢ mom=0.986 trend=0.50 vol=0.0027 size=10.1 type=GTC  q=Ethereum Up or Down - March 6, 11:55AM-12:00PM ET
2026-03-06 11:48:38 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Up cid=0x0e8dca3bc7 price=0.505 prob=55.9% edge=5.2¢ mom=0.986 trend=0.50 vol=0.0027 size=9.8 type=GTC  q=Ethereum Up or Down - March 6, 11:45AM-12:00PM ET
2026-03-06 11:48:38 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Up cid=0xa59d1c7711 price=0.475 prob=55.9% edge=8.2¢ mom=0.986 trend=0.50 vol=0.0027 size=10.5 type=GTC  q=Ethereum Up or Down - March 6, 11AM ET
2026-03-06 11:48:38 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: SOL Up cid=0x9e462b77b0 price=0.505 prob=54.6% edge=3.8¢ mom=0.764 trend=0.50 vol=0.0014 size=9.8 type=GTC  q=Solana Up or Down - March 6, 11:45AM-12:00PM ET
2026-03-06 11:48:38 | INFO     | polymarket_bot.orchestrator | Found 4 total signals across all strategies
2026-03-06 11:48:38 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xa59d1c7711 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:38 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x1c89a881f1 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:38 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x0e8dca3bc7 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:38 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x9e462b77b0 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:38 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:38 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:38 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:38 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:38 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:38 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:38 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:38 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:38 | INFO     | __main__ | Iteration 14384: processed 4 signals
2026-03-06 11:48:46 | INFO     | polymarket_bot.orchestrator | 🕐 Resolution window [2d]: 477 → 0 markets
2026-03-06 11:48:46 | INFO     | polymarket_bot.scanner | 🔍 Short-duration scan: 50 markets found — unknown=50
2026-03-06 11:48:46 | INFO     | polymarket_bot.orchestrator | 📡 Short-duration: added 50 markets to universe (50 total in scan, 0 already present)
2026-03-06 11:48:48 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Up cid=0xe854cc926e price=0.495 prob=55.9% edge=6.2¢ mom=0.986 trend=0.50 vol=0.0027 size=10.1 type=GTC  q=Ethereum Up or Down - March 6, 11:45AM-11:50AM ET
2026-03-06 11:48:48 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: BTC Up cid=0x9bdf3f0cb0 price=0.505 prob=58.8% edge=8.0¢ mom=0.973 trend=0.75 vol=0.0019 size=9.8 type=GTC  q=Bitcoin Up or Down - March 6, 11:45AM-11:50AM ET
2026-03-06 11:48:48 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0xde34f3bd55 price=0.505 prob=58.9% edge=8.1¢ mom=0.987 trend=0.75 vol=0.0009 size=9.8 type=GTC  q=XRP Up or Down - March 6, 11:50AM-11:55AM ET
2026-03-06 11:48:48 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: BTC Up cid=0x3e45183cca price=0.505 prob=58.8% edge=8.0¢ mom=0.973 trend=0.75 vol=0.0019 size=9.8 type=GTC  q=Bitcoin Up or Down - March 6, 11:50AM-11:55AM ET
2026-03-06 11:48:48 | INFO     | polymarket_bot.orchestrator | Found 4 total signals across all strategies
2026-03-06 11:48:48 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xde34f3bd55 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:48 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x9bdf3f0cb0 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:48 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x3e45183cca tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:48 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xe854cc926e tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:48 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:48 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:48 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:48 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:48 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:48 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:48 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
